1 | (10, 200, 200, 20) | (10, 200, 200, 3) | (20, 20, 3, 20) | [1, 1]
2 | (10, 50, 50, 80) | (10, 100, 100, 20) | (1, 1, 20, 80) | [2, 2]
3 | (10, 100, 100, 20) | (10, 100, 100, 20) | (1, 1, 20, 20) | [1, 1]
4 | (10, 50, 50, 20) | (10, 102, 102, 20) | (3, 3, 20, 20) | [2, 2]
5 | (10, 50, 50, 80) | (10, 50, 50, 20) | (1, 1, 20, 80) | [1, 1]
6 | (10, 50, 50, 20) | (10, 50, 50, 80) | (1, 1, 80, 20) | [1, 1]
7 | (10, 50, 50, 20) | (10, 50, 50, 20) | (3, 3, 20, 20) | [1, 1]
8 | (10, 50, 50, 80) | (10, 50, 50, 20) | (1, 1, 20, 80) | [1, 1]
9 | (10, 50, 50, 20) | (10, 50, 50, 80) | (1, 1, 80, 20) | [1, 1]
10 | (10, 50, 50, 20) | (10, 50, 50, 20) | (3, 3, 20, 20) | [1, 1]
11 | (10, 50, 50, 80) | (10, 50, 50, 20) | (1, 1, 20, 80) | [1, 1]
12 | (10, 50, 50, 20) | (10, 50, 50, 80) | (1, 1, 80, 20) | [1, 1]
13 | (10, 50, 50, 20) | (10, 50, 50, 20) | (3, 3, 20, 20) | [1, 1]
14 | (10, 50, 50, 80) | (10, 50, 50, 20) | (1, 1, 20, 80) | [1, 1]
15 | (10, 50, 50, 20) | (10, 50, 50, 80) | (1, 1, 80, 20) | [1, 1]
16 | (10, 50, 50, 20) | (10, 50, 50, 20) | (3, 3, 20, 20) | [1, 1]
17 | (10, 50, 50, 80) | (10, 50, 50, 20) | (1, 1, 20, 80) | [1, 1]
18 | (10, 50, 50, 20) | (10, 50, 50, 80) | (1, 1, 80, 20) | [1, 1]
19 | (10, 50, 50, 20) | (10, 50, 50, 20) | (3, 3, 20, 20) | [1, 1]
20 | (10, 50, 50, 80) | (10, 50, 50, 20) | (1, 1, 20, 80) | [1, 1]
21 | (10, 50, 50, 20) | (10, 50, 50, 80) | (1, 1, 80, 20) | [1, 1]
22 | (10, 50, 50, 20) | (10, 50, 50, 20) | (3, 3, 20, 20) | [1, 1]
23 | (10, 50, 50, 80) | (10, 50, 50, 20) | (1, 1, 20, 80) | [1, 1]
24 | (10, 50, 50, 20) | (10, 50, 50, 80) | (1, 1, 80, 20) | [1, 1]
25 | (10, 50, 50, 20) | (10, 50, 50, 20) | (3, 3, 20, 20) | [1, 1]
26 | (10, 50, 50, 80) | (10, 50, 50, 20) | (1, 1, 20, 80) | [1, 1]
27 | (10, 50, 50, 20) | (10, 50, 50, 80) | (1, 1, 80, 20) | [1, 1]
28 | (10, 50, 50, 20) | (10, 50, 50, 20) | (3, 3, 20, 20) | [1, 1]
29 | (10, 50, 50, 80) | (10, 50, 50, 20) | (1, 1, 20, 80) | [1, 1]
30 | (10, 50, 50, 20) | (10, 50, 50, 80) | (1, 1, 80, 20) | [1, 1]
31 | (10, 50, 50, 20) | (10, 50, 50, 20) | (3, 3, 20, 20) | [1, 1]
32 | (10, 50, 50, 80) | (10, 50, 50, 20) | (1, 1, 20, 80) | [1, 1]
33 | (10, 25, 25, 160) | (10, 50, 50, 80) | (1, 1, 80, 160) | [2, 2]
34 | (10, 50, 50, 40) | (10, 50, 50, 80) | (1, 1, 80, 40) | [1, 1]
35 | (10, 25, 25, 40) | (10, 52, 52, 40) | (3, 3, 40, 40) | [2, 2]
36 | (10, 25, 25, 160) | (10, 25, 25, 40) | (1, 1, 40, 160) | [1, 1]
37 | (10, 25, 25, 40) | (10, 25, 25, 160) | (1, 1, 160, 40) | [1, 1]
38 | (10, 25, 25, 40) | (10, 25, 25, 40) | (3, 3, 40, 40) | [1, 1]
39 | (10, 25, 25, 160) | (10, 25, 25, 40) | (1, 1, 40, 160) | [1, 1]
40 | (10, 25, 25, 40) | (10, 25, 25, 160) | (1, 1, 160, 40) | [1, 1]
