41 | (10, 25, 25, 40) | (10, 25, 25, 40) | (3, 3, 40, 40) | [1, 1]
42 | (10, 25, 25, 160) | (10, 25, 25, 40) | (1, 1, 40, 160) | [1, 1]
43 | (10, 25, 25, 40) | (10, 25, 25, 160) | (1, 1, 160, 40) | [1, 1]
44 | (10, 25, 25, 40) | (10, 25, 25, 40) | (3, 3, 40, 40) | [1, 1]
45 | (10, 25, 25, 160) | (10, 25, 25, 40) | (1, 1, 40, 160) | [1, 1]
46 | (10, 25, 25, 40) | (10, 25, 25, 160) | (1, 1, 160, 40) | [1, 1]
47 | (10, 25, 25, 40) | (10, 25, 25, 40) | (3, 3, 40, 40) | [1, 1]
48 | (10, 25, 25, 160) | (10, 25, 25, 40) | (1, 1, 40, 160) | [1, 1]
49 | (10, 25, 25, 40) | (10, 25, 25, 160) | (1, 1, 160, 40) | [1, 1]
50 | (10, 25, 25, 40) | (10, 25, 25, 40) | (3, 3, 40, 40) | [1, 1]
51 | (10, 25, 25, 160) | (10, 25, 25, 40) | (1, 1, 40, 160) | [1, 1]
52 | (10, 25, 25, 40) | (10, 25, 25, 160) | (1, 1, 160, 40) | [1, 1]
53 | (10, 25, 25, 40) | (10, 25, 25, 40) | (3, 3, 40, 40) | [1, 1]
54 | (10, 25, 25, 160) | (10, 25, 25, 40) | (1, 1, 40, 160) | [1, 1]
55 | (10, 25, 25, 40) | (10, 25, 25, 160) | (1, 1, 160, 40) | [1, 1]
56 | (10, 25, 25, 40) | (10, 25, 25, 40) | (3, 3, 40, 40) | [1, 1]
57 | (10, 25, 25, 160) | (10, 25, 25, 40) | (1, 1, 40, 160) | [1, 1]
58 | (10, 25, 25, 40) | (10, 25, 25, 160) | (1, 1, 160, 40) | [1, 1]
59 | (10, 25, 25, 40) | (10, 25, 25, 40) | (3, 3, 40, 40) | [1, 1]
60 | (10, 25, 25, 160) | (10, 25, 25, 40) | (1, 1, 40, 160) | [1, 1]
61 | (10, 25, 25, 40) | (10, 25, 25, 160) | (1, 1, 160, 40) | [1, 1]
62 | (10, 25, 25, 40) | (10, 25, 25, 40) | (3, 3, 40, 40) | [1, 1]
63 | (10, 25, 25, 160) | (10, 25, 25, 40) | (1, 1, 40, 160) | [1, 1]
64 | (10, 13, 13, 320) | (10, 25, 25, 160) | (1, 1, 160, 320) | [2, 2]
65 | (10, 25, 25, 80) | (10, 25, 25, 160) | (1, 1, 160, 80) | [1, 1]
66 | (10, 13, 13, 80) | (10, 27, 27, 80) | (3, 3, 80, 80) | [2, 2]
67 | (10, 13, 13, 320) | (10, 13, 13, 80) | (1, 1, 80, 320) | [1, 1]
68 | (10, 13, 13, 80) | (10, 13, 13, 320) | (1, 1, 320, 80) | [1, 1]
69 | (10, 13, 13, 80) | (10, 13, 13, 80) | (3, 3, 80, 80) | [1, 1]
70 | (10, 13, 13, 320) | (10, 13, 13, 80) | (1, 1, 80, 320) | [1, 1]
71 | (10, 13, 13, 80) | (10, 13, 13, 320) | (1, 1, 320, 80) | [1, 1]
72 | (10, 13, 13, 80) | (10, 13, 13, 80) | (3, 3, 80, 80) | [1, 1]
73 | (10, 13, 13, 320) | (10, 13, 13, 80) | (1, 1, 80, 320) | [1, 1]
74 | (10, 13, 13, 80) | (10, 13, 13, 320) | (1, 1, 320, 80) | [1, 1]
75 | (10, 13, 13, 80) | (10, 13, 13, 80) | (3, 3, 80, 80) | [1, 1]
76 | (10, 13, 13, 320) | (10, 13, 13, 80) | (1, 1, 80, 320) | [1, 1]
77 | (10, 13, 13, 80) | (10, 13, 13, 320) | (1, 1, 320, 80) | [1, 1]
78 | (10, 13, 13, 80) | (10, 13, 13, 80) | (3, 3, 80, 80) | [1, 1]
79 | (10, 13, 13, 320) | (10, 13, 13, 80) | (1, 1, 80, 320) | [1, 1]
80 | (10, 13, 13, 80) | (10, 13, 13, 320) | (1, 1, 320, 80) | [1, 1]
81 | (10, 13, 13, 80) | (10, 13, 13, 80) | (3, 3, 80, 80) | [1, 1]
82 | (10, 13, 13, 320) | (10, 13, 13, 80) | (1, 1, 80, 320) | [1, 1]
83 | (10, 13, 13, 80) | (10, 13, 13, 320) | (1, 1, 320, 80) | [1, 1]
84 | (10, 13, 13, 80) | (10, 13, 13, 80) | (3, 3, 80, 80) | [1, 1]
85 | (10, 13, 13, 320) | (10, 13, 13, 80) | (1, 1, 80, 320) | [1, 1]
86 | (10, 13, 13, 80) | (10, 13, 13, 320) | (1, 1, 320, 80) | [1, 1]
87 | (10, 13, 13, 80) | (10, 13, 13, 80) | (3, 3, 80, 80) | [1, 1]
88 | (10, 13, 13, 320) | (10, 13, 13, 80) | (1, 1, 80, 320) | [1, 1]
89 | (10, 13, 13, 80) | (10, 13, 13, 320) | (1, 1, 320, 80) | [1, 1]
90 | (10, 13, 13, 80) | (10, 13, 13, 80) | (3, 3, 80, 80) | [1, 1]
91 | (10, 13, 13, 320) | (10, 13, 13, 80) | (1, 1, 80, 320) | [1, 1]
92 | (10, 13, 13, 80) | (10, 13, 13, 320) | (1, 1, 320, 80) | [1, 1]
93 | (10, 13, 13, 80) | (10, 13, 13, 80) | (3, 3, 80, 80) | [1, 1]
94 | (10, 13, 13, 320) | (10, 13, 13, 80) | (1, 1, 80, 320) | [1, 1]
