1 | (32, 56, 56, 96) | (32, 224, 224, 3) | (11, 11, 3, 96) | [4, 4]
3 | (32, 27, 27, 128) | (32, 27, 27, 48) | (5, 5, 48, 128) | [1, 1]
4 | (32, 27, 27, 128) | (32, 27, 27, 48) | (5, 5, 48, 128) | [1, 1]
6 | (32, 13, 13, 384) | (32, 13, 13, 256) | (3, 3, 256, 384) | [1, 1]
7 | (32, 13, 13, 192) | (32, 13, 13, 192) | (3, 3, 192, 192) | [1, 1]
8 | (32, 13, 13, 192) | (32, 13, 13, 192) | (3, 3, 192, 192) | [1, 1]
9 | (32, 13, 13, 128) | (32, 13, 13, 192) | (3, 3, 192, 128) | [1, 1]
10 | (32, 13, 13, 128) | (32, 13, 13, 192) | (3, 3, 192, 128) | [1, 1]
